lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
32330,Cherbourg,QLD,,,,0,0,2.2,1194,
32450,Cloncurry,QLD,,,,0,8.5,4.2,3644,
32500,Cook,QLD,,,,0,14.1,9.7,4511,
32600,Croydon,QLD,,,,0,4.9,-0.8,266,
32750,Diamantina,QLD,,,,0,11.7,8.6,266,
32770,Doomadgee,QLD,,,,0,2.7,3.2,1387,
32810,Douglas,QLD,,,,0,21.4,9.3,12337,
33100,Etheridge,QLD,,,,0,6.9,0.4,714,
33200,Flinders (Qld),QLD,Y,,,0,6,2.7,1500,
33220,Fraser Coast,QLD,Y,,,0,15,3.8,111032,
33360,Gladstone,QLD,Y,Established,,0,13.3,5.6,63515,
33430,Gold Coast,QLD,Y,,,29,29.1,13.6,625087,
33610,Goondiwindi,QLD,Y,,,0,6.2,3.2,10310,
33620,Gympie,QLD,,,,1,11.6,2.7,53242,
33800,Hinchinbrook,QLD,,,Y,0,9,5.3,10920,
33830,Hope Vale,QLD,,,,0,1.4,60.3,976,
33960,Ipswich,QLD,Y,,,0,21.7,13.9,229208,
33980,Isaac,QLD,,,,0,9.6,4.7,22046,
34420,Kowanyama,QLD,,,,0,1.5,3.5,1079,
34530,Livingstone,QLD,Y,,,0,10.1,2.7,39398,
34570,Lockhart River,QLD,,,,0,3.4,65.2,640,
34580,Lockyer Valley,QLD,,,Y,0,14.1,6.9,41101,
34590,Logan,QLD,Y,Advanced,,0,27.9,17.9,345098,
34710,Longreach,QLD,,,,0,7.7,3.5,3647,
34770,Mackay,QLD,Y,,,0,11.9,5.8,121691,
34800,McKinlay,QLD,,,,0,4.8,2,836,
34830,Mapoon,QLD,,,,0,1.6,33.1,432,
34860,Maranoa,QLD,,,,0,7,4,12825,
34880,Mareeba,QLD,,,Y,0,16.9,10.2,22858,
35010,Moreton Bay,QLD,Y,,,6,21,8.4,476340,
35250,Mornington,QLD,,,,0,2.7,34.2,1025,
35300,Mount Isa,QLD,Y,,Y,0,16.3,9.6,18727,
35600,Murweh,QLD,,,,0,8.4,5.6,3971,
35670,Napranum,QLD,,,,0,2,16.3,883,
35740,Noosa,QLD,,,,1,23.1,5.7,56298,
35760,North Burnett,QLD,,,,0,10.3,5.5,10068,
35780,Northern Peninsula Area,QLD,,,,0,2.3,72.6,2781,
