name,type,address,postcode,state,lat,lon,precision
Community Refugee Integration and Settlement Pilot,crisp,,2605,NSW,-35.335821,149.093455,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2607,NSW,-35.369991,149.094831,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2611,NSW,-35.57315758,148.7089956,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2612,NSW,-35.270615,149.133208,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2614,NSW,-35.257315,149.049796,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2615,NSW,-35.215386,149.029308,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2617,NSW,-35.231279,149.086682,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2620,NSW,-35.34172619,149.2104515,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2640,NSW,-36.016196,147.026549,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2761,NSW,-33.742006,150.84746,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2763,NSW,-33.725619,150.89547,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2767,NSW,-33.77972161,150.8651828,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2770,NSW,-33.756443,150.810246,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2773,NSW,-33.768837,150.626788,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2774,NSW,-33.732671,150.62902,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2776,NSW,-33.666855,150.553111,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2777,NSW,-33.692534,150.587962,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2779,NSW,-33.7237,150.45933,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2780,NSW,-33.832923,150.435639,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2782,NSW,-33.704416,150.366015,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2783,NSW,-33.725566,150.431839,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2785,NSW,-33.707725,150.181517,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2800,NSW,-33.233929,149.116263,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2900,NSW,-35.41891,149.063805,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2903,NSW,-35.402705,149.081776,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2904,NSW,-35.410206,149.111402,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2905,NSW,-35.431011,149.110025,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,2913,NSW,-35.16700193,149.0947174,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3000,VIC,-37.81443733,144.9825846,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3002,VIC,-37.81443733,144.9825846,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3006,VIC,-37.82528675,144.9520744,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3008,VIC,-37.814719,144.948039,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3011,VIC,-37.807101,144.907953,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3012,VIC,-37.807135,144.861162,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3013,VIC,-37.814183,144.888686,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3016,VIC,-37.863743,144.888461,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3018,VIC,-37.86172,144.812736,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3029,VIC,-37.837165,144.705831,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3031,VIC,-37.79119,144.923403,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3032,VIC,-37.774486,144.897221,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3044,VIC,-37.731138,144.936356,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3051,VIC,-37.8006,144.943559,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3052,VIC,-37.788996,144.948903,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3053,VIC,-37.803569,144.966112,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3054,VIC,-37.786971,144.96724,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3055,VIC,-37.763584,144.942222,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3056,VIC,-37.766292,144.960108,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3057,VIC,-37.770012,144.97728,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3058,VIC,-37.739901,144.964524,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3059,VIC,-37.639887,144.879626,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3064,VIC,-37.546522,144.942199,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3065,VIC,-37.802608,144.977795,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3066,VIC,-37.804846,144.986906,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3067,VIC,-37.803515,144.998203,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3068,VIC,-37.790974,144.98622,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3070,VIC,-37.774064,144.999745,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3071,VIC,-37.759426,145.007006,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3072,VIC,-37.74247,145.005702,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3074,VIC,-37.684684,145.006644,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3075,VIC,-37.66607,145.002679,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3078,VIC,-37.778298,145.025853,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3079,VIC,-37.772675,145.048573,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3081,VIC,-37.743008,145.046401,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3082,VIC,-37.664858,145.065658,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3083,VIC,-37.701346,145.056223,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3087,VIC,-37.711787,145.082426,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3088,VIC,-37.700175,145.108339,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3095,VIC,-37.713299,145.158579,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3096,VIC,-37.670851,145.185826,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3101,VIC,-37.807397,145.036575,postcode_centroid
