lga_name,lga_accreditation,overseas_born_pct,language_other_than_english_pct
Lower Eyre Peninsula,,6.5,1.9
Loxton Waikerie,,8.3,4.8
Maralinga Tjarutja,,5.2,76
Marion,,29.1,20.7
Mid Murray,,11,1.8
Mitcham,,23.2,15
Mount Barker,,15.1,5
Mount Gambier,,11.4,6.6
Mount Remarkable,,8.2,1.7
Murray Bridge,Established,12.7,8
Naracoorte Lucindale,,15,10.4
Northern Areas,,6.5,2
Norwood Payneham and St Peters,,31.3,26.4
Onkaparinga,,21.2,7
Orroroo Carrieton,,5.7,1.9
Peterborough,,9.3,1.3
Playford,,21.8,15
Port Adelaide Enfield,Established,35.9,35.2
Port Augusta,,8.5,6.7
Port Lincoln,,8.8,4.3
Port Pirie,,7.8,4.3
Prospect,,28.8,28.2
Renmark Paringa,,14.1,13.8
Robe,,9.5,3
Roxby Downs,,13.6,8.6
Salisbury,Excelling,34.1,32.2
Southern Mallee,,13.3,8.1
Streaky Bay,,5.3,1.5
Tatiara,,12.9,8.6
Tea Tree Gully,,24.8,14.9
Coorong,,8.7,3.7
Tumby Bay,,5.5,1.3
Unley,Established,25.5,19.3
Victor Harbor,,19.4,3.4
Wakefield,,10.4,3.9
Walkerville,,29.6,23.2
Wattle Range,,9.2,2.8
West Torrens,,31.7,30.8
Whyalla,,17.9,6.3
Wudinna,,4.4,1.1
Yankalilla,,17.4,2.1
Yorke Peninsula,,9,1.7
Unincorporated SA,,9,15.3
No usual address (SA),,15.6,8.7
Migratory - Offshore - Shipping (SA),,58.3,58.3
Albany,,19.2,6
Armadale,,36.1,23.3
Ashburton,,18.9,10.7
Augusta Margaret River,,22.4,7.4
Bassendean,,27.2,13.7
Bayswater,,37.7,27
Belmont,,40.9,30.7
Beverley,,18.1,3.1
Boddington,,14.9,4.8
Boyup Brook,,12.8,2.5
Bridgetown-Greenbushes,,21.6,3.2
Brookton,,9.7,4.6
Broome,,14.4,12.1
Broomehill-Tambellup,,9.2,2.9
Bruce Rock,,8.8,3.6
Bunbury,,19.7,8.5
Busselton,,19.3,5.1
Cambridge,,30.6,14.5
Canning,,50.9,42.5
Capel,,21.9,8.7
Carnamah,,14.3,3.8
Carnarvon,,18.4,12.5
Chapman Valley,,13.5,2.4
Chittering,,23.4,4.4
Christmas Island,,44.1,44.6
Claremont,,31.3,12.5
Cockburn,,34.2,21.4
Cocos Islands,,8.1,64.1
Collie,,11.4,2.6
Coolgardie,,16.5,5.2
Coorow,,10.2,2.1
Corrigin,,10.3,3.5
Cottesloe,,24.6,6.2
Cranbrook,,15.6,4
Cuballing,,14.3,2.8
Cue,,30.2,4.7
Cunderdin,,14.7,6.1
Dalwallinu,,17.3,9.3
Dandaragan,,14.8,4.1
Dardanup,,16.9,6.2
Denmark,,22.8,3.8
Derby-West Kimberley,,7.3,33.9
Donnybrook-Balingup,,18.5,4.6
Dowerin,,9,2.8
Dumbleyung,,9,2.2
Dundas,,19.1,7.2
East Fremantle,,24.2,7.4
East Pilbara,,21.6,20.8
Esperance,,12.9,4.4
Exmouth,,18.5,6.3
Fremantle,,29.2,12.7
Gingin,,25.5,9.1
Gnowangerup,,15,7.4
Goomalling,,9.9,1.3
Gosnells,,43.7,35.4
Greater Geraldton,,14.2,7.4
Halls Creek,,5.3,47.4
Harvey,,19.3,7.7
Irwin,,12.6,1.8
Jerramungup,,10.8,4
Joondalup,,37,10.6
Kalamunda,,28.6,12.4
Kalgoorlie-Boulder,,23.9,12.6
Karratha,,18.6,12.4
Katanning,,21.2,19.4
Kellerberrin,,11.2,4.2
Kent,,10.4,4.1
Kojonup,,13.3,5.5
Kondinin,,11.6,3.3
Koorda,,13,0
Kulin,,8.6,2
Kwinana,,34.7,21.2
Lake Grace,,14.1,5.5
Laverton,,15.2,17
Leonora,,18.4,11.6
Mandurah,,27.5,6.7
Manjimup,,15.9,6.3
Meekatharra,,14.3,14.3
Melville,,34.5,20.2
Menzies,,17.4,17.9
Merredin,,11.8,4.8
Mingenew,,4.4,-0.7
Moora,,11.1,3.5
Morawa,,8.8,3
Mosman Park,,32.1,13.5
Mount Magnet,,13.6,4.6
Mount Marshall,,9.4,1.7
Mukinbudin,,9.3,2.6
Mundaring,,23.9,5.5
Murchison,,4,10.9
Murray,,17.7,2.9
Nannup,,20.7,3
Narembeen,,8.8,4.3
Narrogin,,16.4,8.7
Nedlands,,32.8,15.4
Ngaanyatjarraku,,3.3,81.4
Northam,,18,5.2
Northampton,,13.2,2.6
Nungarin,,9.4,5.5
Peppermint Grove,,27.4,10.1
Perenjori,,12.9,5.1
Perth,,54.1,37.5
Pingelly,,16.3,4
